shape,changeType,blockNum,trialID,response,confidence,rt,subjectID,experimentName,experimentVersion,experimentTime,studyID,sessionID,browserName,browserVersion,displayWindowHeight,displayWindowWidth,displayScreenHeight,displayScreenWidth,change_key,gender,age,taskGuess,purposeGuess,commentText,totalTime,collapsedChange,correctAnswer,fullShapeName,shape_color,video_direction,responded_correctly,count,analysisChangeType
shape5,concave_nofill_area1,2,23,different,9,2503.4,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,concave_nofill_area1,different,shape5_concave_nofill_area1,,,1,1,concave_nofill
shape3,no_change6,2,24,same,9,1702.9,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape3_no_change6,0.20130798800000002,rl,1,1,none
shape4,no_change3,2,25,same,9,2151.8,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape4_no_change3,0.37374584899999996,rl,1,1,none
shape8,no_change4,2,26,same,9,1571.5,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape8_no_change4,0.067118883,lr,1,1,none
shape1,no_change6,3,27,same,9,2189.6,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape1_no_change6,0.440461145,rl,1,1,none
shape2,no_change3,3,28,same,9,4934.3,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape2_no_change3,0.99679993,rl,1,1,none
shape6,no_change2,3,29,same,7,3147.7,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape6_no_change2,0.914900387,rl,1,1,none
shape7,concave_area2,3,30,different,9,4808.6,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,concave_area2,different,shape7_concave_area2,,,1,1,concave
shape5,no_change5,3,31,same,8,3470.4,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape5_no_change5,0.56268488,rl,1,1,none
shape8,no_change3,3,32,different,8,2733.4,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape8_no_change3,0.848020062,rl,0,1,none
catch_shape,no_change5,3,33,same,9,1539.7,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,catch_shape_no_change5,0.255306165,rl,1,1,none
shape3,no_change2,3,34,same,8,4026.0,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape3_no_change2,0.7109621,lr,1,1,none
shape4,concave_area1,3,35,different,9,3966.5,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,concave_area1,different,shape4_concave_area1,,,1,1,concave
shape1,no_change5,4,36,same,9,98590.5,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,no_change,same,shape1_no_change5,0.982639687,rl,1,1,none
shape8,concave_area2,4,37,different,9,2351.1,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,concave_area2,different,shape8_concave_area2,,,1,1,concave
shape7,convex_area1,4,38,different,9,2210.5,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,convex_area1,different,shape7_convex_area1,,,1,1,convex
shape2,convex_area1,4,39,different,9,1797.5,558980cdfdf99b7ae47f5a75,ducktruck,control,2127077.7,611a8cbde46ef77ccdf8b0c1,611abc2dcbd349bae6b453c2,Chrome,92,761,1453,1440,2560,q, -- select an option -- ,,Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ,Determining if people could detect a change in objects when shown similar ones in rapid succession.,"Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,convex_area1,different,shape2_convex_area1,,,1,1,convex
